LtR algorithm,repo_name,ndcg@1,ndcg@2,ndcg@3,ndcg@4,ndcg@5,ndcg@6,ndcg@7,ndcg@8,ndcg@9,ndcg@10,ndcg@11,ndcg@12,ndcg@13,ndcg@14,ndcg@15,ndcg@16,ndcg@17,ndcg@18,ndcg@19,ndcg@20,Project_Category
AdaRank,alibaba_BizCharts,0.496062992,0.349850908,0.295475424,0.265655452,0.23389944,0.22141862,0.211952943,0.204464808,0.198354724,0.193249507,0.188903305,0.185146783,0.176066452,0.169112799,0.17231094,0.165406916,0.16004877,0.154323858,0.149884795,0.145801673,Small
AdaRank,AmruthPillai_Reactive-Resume,0.496062992,0.691012438,0.586147895,0.65572783,0.569693009,0.514227416,0.472161322,0.438883551,0.478585772,0.448137768,0.422216605,0.45287576,0.4797089,0.46321481,0.486109935,0.506700094,0.52534223,0.508522407,0.525214601,0.540568349,Small
AdaRank,apache_kylin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Small
AdaRank,asynkron_protoactor-dotnet,0.496062992,0.496062992,0.392599966,0.335859973,0.291793439,0.260341271,0.328112831,0.341514336,0.352449544,0.361586345,0.340671485,0.328861627,0.337061844,0.344314579,0.350786999,0.356607807,0.361877913,0.350905176,0.355835213,0.346110535,Small
AdaRank,aws_chalice,0.023622047,0.023622047,0.019926939,0.057615677,0.051089318,0.048128644,0.044440296,0.041522507,0.039141682,0.036651457,0.048650367,0.046486635,0.044592919,0.042558842,0.040743609,0.041319556,0.040650755,0.039478338,0.046427775,0.045690276,Small
AdaRank,open-mmlab_mmsegmentation,0.118110236,0.459271767,0.586147895,0.487600294,0.554829737,0.495025109,0.451832594,0.420176945,0.390447005,0.373120725,0.351538694,0.339152185,0.325222029,0.356001592,0.383469608,0.408172282,0.392747177,0.382923469,0.36991813,0.359738035,Small
AdaRank,otya128_winevdm,0,0,0,0,0.014578342,0.013006955,0.011815187,0.010872399,0.010103115,0.009460346,0.008913142,0.008673968,0.008453498,0.032420288,0.042832536,0.046871187,0.05612579,0.06483697,0.06799581,0.066707726,Small
AdaRank,remotion-dev_remotion,0.111111111,0.454980273,0.463681456,0.385723835,0.399676138,0.356595385,0.334102779,0.346707182,0.322175651,0.33298405,0.342185515,0.377091392,0.358597337,0.387854506,0.381466928,0.366182599,0.356543276,0.379559594,0.373105009,0.374927946,Small
AdaRank,capistrano_capistrano,0.023622047,0.023622047,0.252718748,0.214201284,0.251182971,0.277578382,0.297597131,0.313433623,0.326355703,0.337152615,0.346344301,0.354288885,0.338071673,0.368265108,0.353565287,0.379466145,0.383872418,0.387885453,0.408674874,0.396222923,Small
AdaRank,Shopify_shopify_app,0.047619048,0.219553629,0.22390422,0.186259755,0.193060834,0.17225097,0.17828398,0.183056592,0.173473605,0.177584885,0.181084921,0.184110083,0.186757729,0.189099456,0.191189239,0.185436777,0.179028849,0.181141641,0.179706934,0.18471273,Small
