LtR algorithm,repo_name,ndcg@1,ndcg@2,ndcg@3,ndcg@4,ndcg@5,ndcg@6,ndcg@7,ndcg@8,ndcg@9,ndcg@10,ndcg@11,ndcg@12,ndcg@13,ndcg@14,ndcg@15,ndcg@16,ndcg@17,ndcg@18,ndcg@19,ndcg@20,Project_Category
RandomForest,esphome_esphome,0.238095238,0.145987427,0.227190494,0.207674354,0.311631501,0.290017578,0.285260171,0.262497967,0.260771333,0.275486323,0.273323549,0.264716005,0.257182613,0.267896553,0.266625458,0.275658139,0.283836243,0.29128449,0.28516521,0.291855947,Medium
RandomForest,ethereum_mist,0,0.386852807,0.353356086,0.334986203,0.323060748,0.396027458,0.382106532,0.371093925,0.362107983,0.342577045,0.324128066,0.306928726,0.291875726,0.289696216,0.277340004,0.266227754,0.293957501,0.284287656,0.282922564,0.281666931,Medium
RandomForest,FaridSafi_react-native-gifted-chat,0.244094488,0.536518657,0.527026166,0.521820404,0.453354917,0.457958385,0.461449736,0.434053119,0.438440675,0.418061,0.422572787,0.400149636,0.386317307,0.368695692,0.352969971,0.378894682,0.383322551,0.36961118,0.357860253,0.378625955,Medium
RandomForest,FormidableLabs_victory,0.244094488,0.244094488,0.303216217,0.256208738,0.225692184,0.254835224,0.231485834,0.232491936,0.217713188,0.205364956,0.200317973,0.189688419,0.192356708,0.188970003,0.206506902,0.202227701,0.218109497,0.213928872,0.210853636,0.224955323,Medium
RandomForest,Genymobile_scrcpy,0,0.009138255,0.019926939,0.025843544,0.153657817,0.143036306,0.132094921,0.125952592,0.117040721,0.111097351,0.106037609,0.153474298,0.147105829,0.140395692,0.177059797,0.170911969,0.202243763,0.196981108,0.224254268,0.249340559,Medium
RandomForest,hibernate_hibernate-orm,1,0.805050554,0.629086883,0.691447592,0.607957933,0.544972862,0.497203862,0.477007116,0.44492751,0.416620872,0.392522707,0.372947582,0.354656755,0.33955682,0.335485132,0.33182336,0.328508027,0.317602317,0.340778784,0.329758581,Medium
RandomForest,ipfs_js-ipfs,1,0.803503336,0.730427289,0.690351771,0.664335342,0.645766305,0.631683217,0.620542325,0.611451708,0.603856135,0.597389831,0.56821712,0.564482245,0.56117891,0.558230978,0.545404021,0.543388246,0.523951358,0.522868341,0.521872165,Medium
RandomForest,LuckSiege_PictureSelector,0.023622047,0.023622047,0.023622047,0.019650531,0.020171614,0.071467543,0.069969519,0.067083871,0.06875093,0.07023708,0.071575562,0.10012379,0.100442625,0.097680313,0.098031643,0.095584783,0.093302028,0.11407127,0.114006091,0.132794671,Medium
RandomForest,psf_black,1,0.622285448,0.481815449,0.568936541,0.526315614,0.495895238,0.450458616,0.494309017,0.530089567,0.497867705,0.47043641,0.451740783,0.430744145,0.41648355,0.441371872,0.463754562,0.484019638,0.466706353,0.454866883,0.443976749,Medium
RandomForest,pygame_pygame,0.05511811,0.05511811,0.0541282,0.098838848,0.131870535,0.157730404,0.162789743,0.181304731,0.197129933,0.210879891,0.203851304,0.215390716,0.225753783,0.23513223,0.243675912,0.237497044,0.245125563,0.239481647,0.239443771,0.24605679,Medium
